state,state_code
 AK,0
 AR,1
 AZ,2
 Afghanistan,3
 Alabama,4
 Aland Islands,5
 Alaska,6
 Alaska region,7
 Albania,8
 Aleutian Islands,9
 Algeria,10
 American Samoa,11
 Andorra,12
 Angola,13
 Anguilla,14
 Antarctica,15
 Antigua and Barbuda,16
 Argentina,17
 Argentina region,18
 Arizona,19
 Arkansas,20
 Armenia,21
 Australia,22
 Australia region,23
 Austria,24
 Azerbaijan,25
 B.C.,26
 Bahamas,27
 Bangladesh,28
 Barbados,29
 Belgium,30
 Belize,31
 Benin,32
 Bermuda,33
 Bhutan,34
 Bolivia,35
 Bonaire,36
 Bosnia and Herzegovina,37
 Botswana,38
 Brazil,39
 Brunei,40
 Bulgaria,41
 Burundi,42
 CA Earthquake,43
 CO,44
 Cabo Verde,45
 California,46
 Cameroon,47
 Canada,48
 Canada region,49
 Cayman Islands,50
 Central African Republic,51
 Centrale GIKO,52
 Chile,53
 China,54
 Colombia,55
 Colorado,56
 Comoros,57
 Congo-Uganda,58
 Connecticut,59
 Costa Rica,60
 Croatia,61
 Cuba,62
 Cyprus,63
 Czechia,64
 Delaware,65
 Dem. Republic of the Congo-Tanzania,66
 Democratic Republic of the Congo,67
 Denmark,68
 Djibouti,69
 Dominica,70
 Dominican Republic,71
 Ecuador,72
 Ecuador region,73
 Egypt,74
 El Salvador,75
 Equatorial Guinea,76
 Eritrea,77
 Estonia,78
 Eswatini,79
 Ethiopia,80
 Faroe Islands,81
 Federated States of Micronesia,82
 Fiji,83
 Finland,84
 Florida,85
 France,86
 French Guiana,87
 French Polynesia,88
 French Polynesia region,89
 French Southern Territories,90
 Gabon,91
 Georgia,92
 Germany,93
 Ghana,94
 Greece,95
 Greenland,96
 Grenada,97
 Guadeloupe,98
 Guam,99
 Guatemala,100
 Guernsey,101
 Guinea,102
 Guyana,103
 HI,104
 Haiti,105
 Hawaii,106
 Honduras,107
 Hong Kong,108
 Hungary,109
 ID,110
 Iceland,111
 Idaho,112
 Illinois,113
 India,114
 India region,115
 Indiana,116
 Indonesia,117
 Iowa,118
 Iran,119
 Iraq,120
 Ireland,121
 Isle of Man,122
 Israel,123
 Italy,124
 Jamaica,125
 Japan,126
 Japan region,127
 Jersey,128
 Jordan,129
 KS,130
 KY,131
 Kahramanmaras earthquake sequence,132
 Kalibo,133
 Kansas,134
 Kazakhstan,135
 Kentucky,136
 Kenya,137
 Kiribati region,138
 Kosovo,139
 Kuwait,140
 Kyrgyzstan,141
 Laikit II (Dimembe),142
 Laos,143
 Latvia,144
 Lebanon,145
 Lesotho,146
 Liberia,147
 Libya,148
 Liechtenstein,149
 Lithuania,150
 Louisiana,151
 Luxembourg,152
 ME,153
 MO,155
 MT,156
 Madagascar,157
 Maine,158
 Malawi,159
 Malaysia,160
 Maldives,161
 Mali,162
 Malta,163
 Marshall Islands,164
 Martinique,165
 Maryland,166
 Massachusetts,167
 Mauritania,168
 Mauritius,169
 Mayotte,170
 Mexico,171
 Michigan,172
 Micronesia,173
 Mindanao,174
 Minnesota,175
 Mississippi,176
 Missouri,177
 Monaco,178
 Mongolia,179
 Montana,180
 Montenegro,181
 Montserrat,182
 Morocco,183
 Mozambique,184
 Myanmar,185
 NC,186
 NE,187
 NJ,188
 NM,189
 NV,190
 NV Earthquake,191
 NY,192
 Namibia,193
 Nebraska,194
 Nepal,195
 Netherlands,196
 Nevada,197
 New Caledonia,198
 New Hampshire,199
 New Jersey,200
 New Mexico,201
 New York,202
 New Zealand,203
 New Zealand region,204
 Nicaragua,205
 Niger,206
 Nigeria,207
 North Carolina,208
 North Dakota,209
 North Korea,210
 North Macedonia,211
 Northern Mariana Islands,212
 Northwest Territories,213
 Norway,214
 Nunavut,215
 OK,216
 OR,217
 Ohio,218
 Oklahoma,219
 Oman,220
 Oregon,221
 PA,222
 Pakistan,223
 Palau,224
 Palestinian Territory,225
 Panama,226
 Papua New Guinea,227
 Pasadena,228
 Pennsylvania,229
 Peru,230
 Philippines,231
 Poland,232
 Portugal,233
 Portugal region,234
 Puerto Rico,235
 Quebec,236
 Republic of the Congo,237
 Reunion,238
 Revilla Gigedo Islands,239
 Rhode Island,240
 Romania,241
 Russia,242
 Russia region,243
 Rwanda,244
 Saint Helena,245
 Saint Kitts and Nevis,246
 Saint Lucia,247
 Saint Pierre and Miquelon,248
 Saint Vincent and the Grenadines,249
 Sakha,250
 Samoa,251
 San Felipe,252
 San Marino,253
 Sao Tome and Principe,254
 Saudi Arabia,255
 Senegal,256
 Serbia,257
 Seychelles,258
 Sierra Leone,259
 Slovakia,260
 Slovenia,261
 Solomon Islands,262
 Somalia,263
 Son.,264
 South Africa,265
 South Carolina,266
 South Dakota,267
 South Korea,268
 South Sudan,269
 Spain,270
 Spain region,271
 Sri Lanka,272
 Stoke-on-Trent,273
 Sudan,274
 Sulawesi,275
 Surigao del Norte,276
 Svalbard and Jan Mayen,277
 Sweden,278
 Switzerland,279
 Syria,280
 TN,281
 TX,282
 Taiwan,283
 Tajikistan,284
 Tanzania,285
 Tennessee,286
 Texas,287
 Thailand,288
 Timor Leste,289
 Tokelau,290
 Tonga,291
 Trinidad and Tobago,292
 Tunisia,293
 Turkey,294
 Turkmenistan,295
 Tuvalu,296
 U.S. Virgin Islands,297
 USA,298
 UT,299
 Uganda,300
 Ukraine,301
 United Arab Emirates,302
 United Kingdom,303
 United States,304
 Utah,305
 Uzbekistan,306
 Vanuatu,307
 Venezuela,308
 Vermont,309
 Vietnam,310
 Virginia,311
 WA,312
 WY,313
 Wallis and Futuna,314
 Washington,315
 West Virginia,316
 Wisconsin,317
 Wyoming,318
 Yemen,319
 Zambia,320
 Zimbabwe,321
 el Tibidabo i les Planes,322
 Ñuñoa,323
2004 Sumatra - Andaman Islands Earthquake,324
Adriatic Sea,325
Aegean Sea,326
Afghanistan-Pakistan border region,327
Afghanistan-Tajikistan border region,328
Afghanistan-Tajikistan-Pakistan region,329
Alabama,330
Alaska Peninsula,331
Albania,332
Albania-Macedonia border region,333
Albania-Serbia-Montenegro border region,334
Antarctica,335
Arabian Sea,336
Arafura Sea,337
Arctic Ocean,338
